,Entity,Code,Year,GDP
2766,China,CHN,2018,18151620214784
14598,United States,USA,2018,18140645818368
6479,India,IND,2018,8835757506560
14020,USSR,OWID_USS,2018,5753769820160
7415,Japan,JPN,2018,4867010592768
5428,Germany,DEU,2018,3885961314304
11542,Russia,RUS,2018,3613410459648
6671,Indonesia,IDN,2018,3075456106496
1740,Brazil,BRA,2018,2965401501696
5077,France,FRA,2018,2581673803776
14399,United Kingdom,GBR,2018,2540210225152
7191,Italy,ITA,2018,2077209133056
8879,Mexico,MEX,2018,2006599729152
12474,South Korea,KOR,2018,1958392102912
11821,Saudi Arabia,SAU,2018,1677338607616
2267,Canada,CAN,2018,1669401542656
13883,Turkey,TUR,2018,1655984226304
12664,Spain,ESP,2018,1492300201984
6744,Iran,IRN,2018,1398995943424
646,Australia,AUS,2018,1238559621120
4296,Egypt,EGY,2018,1221832605696
10452,Pakistan,PAK,2018,1212090548224
13569,Thailand,THA,2018,1124031922176
10025,Nigeria,NGA,2018,1060805935104
11051,Poland,POL,2018,1053479337984
13385,Taiwan,TWN,2018,1041749573632
10959,Philippines,PHL,2018,912443441152
407,Argentina,ARG,2018,829373284352
9636,Netherlands,NLD,2018,818056003584
8473,Malaysia,MYS,2018,773658509312
14196,United Arab Emirates,ARE,2018,734906220544
978,Bangladesh,BGD,2018,686521778176
12366,South Africa,ZAF,2018,673272168448
15012,Vietnam,VNM,2018,661488402432
2889,Colombia,COL,2018,651900551168
215,Algeria,DZA,2018,590317551616
13202,Switzerland,CHE,2018,531971145728
6818,Iraq,IRQ,2018,513592688640
3594,Czechoslovakia,OWID_CZS,2018,474041253888
7527,Kazakhstan,KAZ,2018,463720546304
13033,Sweden,SWE,2018,463407448064
1265,Belgium,BEL,2018,454384320512
10314,Norway,NOR,2018,449338998784
14129,Ukraine,UKR,2018,431319908352
2673,Chile,CHL,2018,412833611776
12193,Singapore,SGP,2018,410139852800
11379,Qatar,QAT,2018,400649388032
10845,Peru,PER,2018,386316107776
11483,Romania,ROU,2018,386236481536
800,Austria,AUT,2018,382269456384
6168,Hong Kong,HKG,2018,373682634752
15226,Yugoslavia,OWID_YGS,2018,354738077696
14789,Uzbekistan,UZB,2018,336874766336
3498,Czechia,CZE,2018,326100320256
9293,Myanmar,MMR,2018,317599023104
6919,Ireland,IRL,2018,314321666048
14940,Venezuela,VEN,2018,309413019648
9143,Morocco,MAR,2018,299980095488
6988,Israel,ISR,2018,278806233088
7665,Kuwait,KWT,2018,277117140992
11241,Portugal,PRT,2018,276343586816
3862,Denmark,DNK,2018,268317622272
12815,Sri Lanka,LKA,2018,253457137664
6266,Hungary,HUN,2018,250426490880
5686,Greece,GRC,2018,250035847168
4805,Finland,FIN,2018,214535733248
4642,Ethiopia,ETH,2018,195740319744
1087,Belarus,BLR,2018,178435260416
284,Angola,AGO,2018,175929573376
4221,Ecuador,ECU,2018,175524675584
7596,Kenya,KEN,2018,173505904640
10383,Oman,OMN,2018,172358221824
9788,New Zealand,NZL,2018,171013586944
4069,Dominican Republic,DOM,2018,165255135232
13494,Tanzania,TZA,2018,162052505600
840,Azerbaijan,AZE,2018,160426229760
12227,Slovakia,SVK,2018,146456461312
13923,Turkmenistan,TKM,2018,142391017472
1837,Bulgaria,BGR,2018,132183449600
13780,Tunisia,TUN,2018,130322096128
5785,Guatemala,GTM,2018,127549980672
5499,Ghana,GHA,2018,118873890816
11310,Puerto Rico,PRI,2018,115563266048
7487,Jordan,JOR,2018,104894210048
3195,Cote d'Ivoire,CIV,2018,102581665792
8109,Libya,LBY,2018,100416020480
11957,Serbia,SRB,2018,99972055040
7902,Lebanon,LBN,2018,96800194560
3380,Cuba,CUB,2018,92551012352
14089,Uganda,UGA,2018,86584074240
10636,Panama,PAN,2018,86035742720
3262,Croatia,HRV,2018,84978688000
3663,Democratic Republic of Congo,COD,2018,81846378496
9434,Nepal,NPL,2018,81052450816
8149,Lithuania,LTU,2018,76617523200
2113,Cameroon,CMR,2018,76168241152
1453,Bolivia,BOL,2018,75704713216
3126,Costa Rica,CRI,2018,73336987648
15129,Yemen,YEM,2018,69042724864
14749,Uruguay,URY,2018,68560711680
68,Afghanistan,AFG,2018,67594969088
10716,Paraguay,PRY,2018,66292862976
909,Bahrain,BHR,2018,62559305728
15295,Zambia,ZMB,2018,60978622464
12294,Slovenia,SVN,2018,60439879680
2044,Cambodia,KHM,2018,59541852160
5255,Georgia,GEO,2018,58984800256
13274,Syria,SYR,2018,56710615040
4395,El Salvador,SLV,2018,54756343808
7830,Latvia,LVA,2018,46862479360
7774,Laos,LAO,2018,46666960896
6096,Honduras,HND,2018,45382746112
11890,Senegal,SEN,2018,42805547008
9004,Mongolia,MNG,2018,41531756544
1520,Bosnia and Herzegovina,BIH,2018,41286324224
10057,North Korea,PRK,2018,40517136384
13425,Tajikistan,TJK,2018,38206550016
5146,Gabon,GAB,2018,36693262336
8287,Madagascar,MDG,2018,36665933824
1589,Botswana,BWA,2018,35844341760
4504,Estonia,EST,2018,35409424384
8218,Luxembourg,LUX,2018,35015057408
13707,Trinidad and Tobago,TTO,2018,34697351168
143,Albania,ALB,2018,34009112576
447,Armenia,ARM,2018,33296515072
1906,Burkina Faso,BFA,2018,31315025920
2474,Chad,TCD,2018,31212918784
9887,Nicaragua,NIC,2018,30136879104
7705,Kyrgyzstan,KGZ,2018,29601148928
3027,Congo,COG,2018,29513590784
9212,Mozambique,MOZ,2018,29449971712
3449,Cyprus,CYP,2018,27790155776
10124,North Macedonia,MKD,2018,27703576576
8542,Mali,MLI,2018,27521622016
8749,Mauritius,MUS,2018,27474712576
1334,Benin,BEN,2018,26682034176
10523,Palestine,PSE,2018,24034213888
8935,Moldova,MDA,2018,23299414016
9362,Namibia,NAM,2018,23095486464
11611,Rwanda,RWA,2018,22988918784
4464,Equatorial Guinea,GNQ,2018,22750613504
15364,Zimbabwe,ZWE,2018,22715353088
8356,Malawi,MWI,2018,22574655488
9956,Niger,NER,2018,20483442688
7273,Jamaica,JAM,2018,19431862272
5854,Guinea,GIN,2018,19045322752
5997,Haiti,HTI,2018,18653679616
8611,Malta,MLT,2018,15606394880
6335,Iceland,ISL,2018,15315260416
8680,Mauritania,MRT,2018,13278341120
9071,Montenegro,MNE,2018,11980409856
13638,Togo,TGO,2018,11866978304
12095,Sierra Leone,SLE,2018,10628815872
4573,Eswatini,SWZ,2018,8771760128
1975,Burundi,BDI,2018,7314108928
7971,Lesotho,LSO,2018,5360395776
5215,Gambia,GMB,2018,3939021824
8040,Liberia,LBR,2018,3936415744
2336,Cape Verde,CPV,2018,3882678784
2405,Central African Republic,CAF,2018,3581982464
1047,Barbados,BRB,2018,3516161024
3931,Djibouti,DJI,2018,2913438464
12026,Seychelles,SYC,2018,2794612992
5923,Guinea-Bissau,GNB,2018,2752462080
11680,Saint Lucia,LCA,2018,1733778304
2958,Comoros,COM,2018,1416032128
11749,Sao Tome and Principe,STP,2018,762655232
4000,Dominica,DMA,2018,667810432
